columna,n,n_nulos,n_categorias,dominante,pct_dominante,top_5,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos
price,1,0,,,,,0.0,1.0,3550.0,3550.0,3550.0,,3550.0,3550.0,0.0,3550.0,3550.0,0.0,,,,0.0,0.0,False
currency_type,1,0,1.0,COP,100.0,COP=1,,,,,,,,,,,,,,,,,,
payment_method,1,0,,,,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,False
transfers,0,1,1.0,(nulo),100.0,(nulo)=1,,,,,,,,,,,,,,,,,,
agency_id,1,0,,,,,0.0,1.0,7.0,7.0,7.0,,7.0,7.0,0.0,7.0,7.0,0.0,,,,0.0,0.0,False
transfer_duration,1,0,,,,,0.0,1.0,7500.0,7500.0,7500.0,,7500.0,7500.0,0.0,7500.0,7500.0,0.0,,,,0.0,0.0,False
feed_publisher_name,1,0,1.0,Transmilenio S.A.,100.0,Transmilenio S.A.=1,,,,,,,,,,,,,,,,,,
feed_start_date,1,0,,,,,0.0,1.0,20260101.0,20260101.0,20260101.0,,20260101.0,20260101.0,0.0,20260101.0,20260101.0,0.0,,,,0.0,0.0,False
feed_version,1,0,,,,,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,0.0,False
feed_end_date,1,0,,,,,0.0,1.0,20261231.0,20261231.0,20261231.0,,20261231.0,20261231.0,0.0,20261231.0,20261231.0,0.0,,,,0.0,0.0,False
feed_lang,1,0,1.0,es,100.0,es=1,,,,,,,,,,,,,,,,,,
feed_publisher_url,1,0,1.0,https://www.transmilenio.gov.co/,100.0,https://www.transmilenio.gov.co/=1,,,,,,,,,,,,,,,,,,
feed_contact_email,1,0,1.0,radicacion@transmilenio.gov.co,100.0,radicacion@transmilenio.gov.co=1,,,,,,,,,,,,,,,,,,
trip_id,14,0,14.0,cable_habil_2,7.14,cable_habil_2=1 | cable_habil_4=1 | cable_habil_6=1 | cable_sabado_2=1 | cable_sabado_4=1,,,,,,,,,,,,,,,,,,
start_time,14,0,11.0,22:00:00,14.29,22:00:00=2 | 05:30:00=2 | 04:30:00=2 | 05:15:00=1 | 18:00:00=1,,,,,,,,,,,,,,,,,,
end_time,14,0,12.0,22:15:00,14.29,22:15:00=2 | 22:00:00=2 | 07:15:00=1 | 20:00:00=1 | 07:30:00=1,,,,,,,,,,,,,,,,,,
headway_secs,14,0,,,,,0.0,2.0,13.0,13.0,10.0,3.1132,10.0,16.0,6.0,10.0,16.0,6.0,0.0,-2.3636,23.9481,0.0,0.0,False
agency_id,1000,0,,,,,0.0,6.0,2.65,3.0,3.0,0.7239,1.0,6.0,5.0,2.0,3.0,1.0,-0.8341,2.0393,27.3168,7.0,0.7,False
route_color,1000,0,3.0,0000ff,73.0,0000ff=730 | 00ff00=161 | ff0000=109,,,,,,,,,,,,,,,,,,
route_id,1000,0,,,,,0.0,1000.0,11804.205,12087.5,10004.0,912.4085,10004.0,13025.0,3021.0,10916.75,12646.5,1729.75,-0.3348,-1.3848,7.7295,0.0,0.0,False
route_long_name,1000,0,734.0,Portal Américas,1.5,Portal Américas=15 | Portal Sur=14 | Portal Usme=12 | Portal Eldorado=10 | Metrovivienda=10,,,,,,,,,,,,,,,,,,
route_short_name,1000,0,641.0,7,0.8,7=8 | 9-3=6 | T163=6 | C201=6 | 6-5=5,,,,,,,,,,,,,,,,,,
route_text_color,1000,0,1.0,ffffff,100.0,ffffff=1000,,,,,,,,,,,,,,,,,,
route_type,1000,0,,,,,0.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
shape_id,1000,0,,,,,0.0,3.0,10004.519,10004.0,10004.0,0.6724,10004.0,10006.0,2.0,10004.0,10005.0,1.0,0.9305,-0.3233,0.0067,0.0,0.0,False
shape_pt_lat,1000,0,,,,,0.0,652.0,4.529,4.5113,4.4995,0.0457,4.4967,4.6728,0.1761,4.5085,4.5263,0.0178,2.4745,4.5202,1.0096,101.0,10.1,False
shape_pt_lon,1000,0,,,,,0.0,652.0,-74.1101,-74.1127,-74.1184,0.0071,-74.1198,-74.0999,0.0199,-74.1172,-74.1022,0.015,0.2039,-1.6632,-0.0096,0.0,0.0,False
shape_pt_sequence,1000,0,,,,,0.0,582.0,225.207,200.0,1.0,161.8861,1.0,582.0,581.0,84.0,332.25,248.25,0.5293,-0.8041,71.8833,0.0,0.0,False
arrival_time,1000,0,988.0,16:32:17,0.2,16:32:17=2 | 14:36:20=2 | 09:22:58=2 | 10:22:47=2 | 11:05:31=2,,,,,,,,,,,,,,,,,,
departure_time,1000,0,988.0,16:32:17,0.2,16:32:17=2 | 14:36:20=2 | 09:22:58=2 | 10:22:47=2 | 11:05:31=2,,,,,,,,,,,,,,,,,,
stop_headsign,1000,0,2.0,T11,92.6,T11=926 | 6-9=74,,,,,,,,,,,,,,,,,,
stop_id,1000,0,,,,,0.0,253.0,54978.974,56036.0,52092.0,2564.5899,49841.0,73701.0,23860.0,52386.0,56649.25,4263.25,1.2037,9.5519,4.6647,4.0,0.4,False
stop_sequence,1000,0,,,,,0.0,111.0,53.947,55.0,26.0,32.6921,1.0,111.0,110.0,23.0,82.0,59.0,0.001,-1.2824,60.6004,0.0,0.0,False
timepoint,1000,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
trip_id,1000,0,167.0,BC11B0006.3.10539,1.4,BC11B0006.3.10539=14 | BC11B0016.6.10538=14 | BC11B0014.6.10537=13 | BC11B0003.4.10539=12 | BC11B0004.8.10537=12,,,,,,,,,,,,,,,,,,
location_type,1000,0,,,,,0.0,2.0,0.076,0.0,0.0,0.2651,0.0,1.0,1.0,0.0,0.0,0.0,3.2048,8.2875,348.8562,76.0,7.6,False
parent_station,0,1000,1.0,(nulo),100.0,(nulo)=1000,,,,,,,,,,,,,,,,,,
stop_code,924,76,925.0,(nulo),7.6,(nulo)=76 | 080A01_TM=1 | 070A10_TM=1 | 799A00_TM=1 | 027A01_TM=1,,,,,,,,,,,,,,,,,,
stop_id,1000,0,,,,,0.0,1000.0,48003.425,51458.5,2000.0,12218.1928,2000.0,52024.0,50024.0,51192.75,51756.25,563.5,-3.2386,8.6018,25.4528,86.0,8.6,False
stop_lat,1000,0,,,,,0.0,1000.0,4.6405,4.6146,4.5345,0.052,4.5345,4.769,0.2345,4.6036,4.6955,0.0919,0.3803,-1.2228,1.1205,0.0,0.0,False
stop_lon,1000,0,,,,,0.0,1000.0,-74.1356,-74.1326,-74.2151,0.039,-74.2151,-74.0324,0.1828,-74.1682,-74.1052,0.063,-0.0588,-0.8362,-0.0526,0.0,0.0,False
stop_name,1000,0,542.0,Br. Timiza,1.8,Br. Timiza=18 | Br. Garcés Navas=12 | Br. Alquería La Fragua=12 | Br. Las Ferias=12 | Br. Alquería=10,,,,,,,,,,,,,,,,,,
wheelchair_boarding,1000,0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
zone_id,0,1000,1.0,(nulo),100.0,(nulo)=1000,,,,,,,,,,,,,,,,,,
route_id,1000,0,,,,,0.0,8.0,10015.625,10012.0,10004.0,13.2554,10004.0,10039.0,35.0,10004.0,10012.0,8.0,1.0036,-0.7048,0.1323,245.0,24.5,False
service_id,1000,0,,,,,0.0,3.0,1.964,2.0,2.0,1.0246,1.0,4.0,3.0,1.0,2.0,1.0,1.0177,-0.0601,52.1678,169.0,16.9,False
shape_id,1000,0,,,,,0.0,8.0,10015.625,10012.0,10004.0,13.2554,10004.0,10039.0,35.0,10004.0,10012.0,8.0,1.0036,-0.7048,0.1323,245.0,24.5,False
trip_headsign,0,1000,1.0,(nulo),100.0,(nulo)=1000,,,,,,,,,,,,,,,,,,
trip_id,1000,0,1000.0,TO4D70001.1.10004,0.1,TO4D70001.1.10004=1 | TO4D70001.10.10004=1 | TO4D70001.11.10004=1 | TO4D70001.12.10004=1 | TO4D70001.13.10004=1,,,,,,,,,,,,,,,,,,
OBJECTID,20,0,,,,,0.0,20.0,10.5,10.5,1.0,5.9161,1.0,20.0,19.0,5.75,15.25,9.5,0.0,-1.2,56.3436,0.0,0.0,False
R_ASIGNADOS,20,0,,,,,0.0,20.0,231584797730.554,155720466985.665,15336193785.0,204268870739.9945,15336193785.0,656400101161.67,641063907376.67,65892887745.5,398415838236.5325,332522950491.0325,0.6964,-0.7706,88.2048,0.0,0.0,False
R_EJECUTADOS,20,0,,,,,0.0,20.0,219990959772.804,148456280474.165,16795739772.57,195383681623.4141,16795739772.57,636534232652.67,619738492880.1001,61374408626.5,375465655883.7825,314091247257.2825,0.738,-0.6448,88.8144,0.0,0.0,False
R_GIRADOS,20,0,,,,,0.0,20.0,204641894415.654,130831927293.665,14998153437.0,184684812163.9005,14998153437.0,610200517768.67,595202364331.67,56537698721.5,340444482288.5325,283906783567.0325,0.7966,-0.4777,90.2478,0.0,0.0,False
Fecha,20,0,1.0,2025-12-31 00:00:00+00:00,100.0,2025-12-31 00:00:00+00:00=20,,,,,,,,,,,,,,,,,,
COD_LOCA,20,0,20.0,15,5.0,15=1 | 06=1 | 18=1 | 12=1 | 13=1,,,,,,,,,,,,,,,,,,
Shape_Length,20,0,,,,,0.0,20.0,44710.4849,33440.22,7486.3109,47033.3486,7486.3109,213491.2305,206004.9196,17608.1575,45222.5787,27614.4212,2.7549,8.8291,105.1953,2.0,10.0,False
Shape_Area,20,0,,,,,0.0,20.0,82768261.4294,35017221.2876,2085683.8013,174306697.5745,2085683.8013,789463047.6426,787377363.8413,13516053.349,53782041.2296,40265987.8805,3.8839,16.026,210.5961,3.0,15.0,False
OBJECTID,300,0,,,,,0.0,300.0,150.5,150.5,1.0,86.7468,1.0,300.0,299.0,75.75,225.25,149.5,0.0,-1.2,57.639,0.0,0.0,False
Id,300,0,,,,,0.0,300.0,150.5,150.5,1.0,86.7468,1.0,300.0,299.0,75.75,225.25,149.5,0.0,-1.2,57.639,0.0,0.0,False
departamen,300,0,1.0,Bogotá D.C,100.0,Bogotá D.C=300,,,,,,,,,,,,,,,,,,
municipio,300,0,1.0,BOGOTÁ,100.0,BOGOTÁ=300,,,,,,,,,,,,,,,,,,
codigo_pre,300,0,123.0,1100101010,12.0,1100101010=36 | 1100100130=24 | 1100104035=17 | 1100102404=16 | 1100102317=12,,,,,,,,,,,,,,,,,,
nombre_pre,300,0,123.0,INVERSIONES EN RECREACION DEPORTE Y SALUD S.A Y PODRA TAMBIEN DESIGNARSE CON LA SIGLA BODYTECH,12.0,INVERSIONES EN RECREACION DEPORTE Y SALUD S.A Y PODRA TAMBIEN DESIGNARSE CON LA SIGLA BODYTECH=36 | INVERSIONES DAMA SALUD SAS=24 | UNIDAD MEDICA Y DE DIAGNOSTICO S.A=17 | INSTITUTO DE DIAGNOSTICO MEDICO S.A.=16 | IMEVI SAS=12,,,,,,,,,,,,,,,,,,
nombre,300,0,292.0,UNIDAD RADIOLOGICA DENTO CRANEO MAXILO FACIAL,1.0,UNIDAD RADIOLOGICA DENTO CRANEO MAXILO FACIAL=3 | OPTICA DR MENDEZ SAS=3 | UNIDAD MEDICA DIAGNOSTICA ESPINOSA GOMEZ SAS=3 | CENTRO MEDICO LA FACULTAD SAS=2 | TAC Y RESONANCIA DEL COUNTRY=2,,,,,,,,,,,,,,,,,,
tipo_zona,300,0,2.0,URBANA,99.67,URBANA=299 |  =1,,,,,,,,,,,,,,,,,,
direccion,300,0,299.0,CARRERA 16 No. 82 - 57 PISO 2,0.67,CARRERA 16 No. 82 - 57 PISO 2=2 | KR 64 # 100 55=1 | CLL 43 # 25 - 61=1 | DIAGONAL 19 SUR No 20 -39=1 | TV 94A # 80A 91=1,,,,,,,,,,,,,,,,,,
barrio,300,0,131.0,SANTA BARBARA,6.33,SANTA BARBARA=19 | ANTIGUO COUNTRY=19 | CHAPINERO=16 | CHICO N=9 | CHICO=9,,,,,,,,,,,,,,,,,,
telefono,300,0,216.0, ,12.0, =36 | 7462749=12 | 7565656 Ext 6557=9 | 3438770=8 | 7565656 EXT 6557=8,,,,,,,,,,,,,,,,,,
fax,300,0,,,,,0.0,68.0,11722984.4267,0.0,0.0,181955684.6565,0.0,3152537288.0,3152537288.0,0.0,2139097.25,2139097.25,17.3164,299.9053,1552.1277,41.0,13.67,False
email,300,0,175.0, ,12.33, =37 | habilitacion.cientifica@sonria.com.co=24 | edgarc@colmedica.com=17 | contabilidad@idime.com.co=13 | contabilidad@ieco.com.co=6,,,,,,,,,,,,,,,,,,
clase_pers,300,0,1.0,JURIDICO,100.0,JURIDICO=300,,,,,,,,,,,,,,,,,,
naturaleza,300,0,2.0,Privada,99.33,Privada=298 | Pública=2,,,,,,,,,,,,,,,,,,
clase_pres,300,0,1.0,Instituciones - IPS,100.0,Instituciones - IPS=300,,,,,,,,,,,,,,,,,,
ese,300,0,3.0,NO,96.33,NO=289 |  =9 | SI=2,,,,,,,,,,,,,,,,,,
nivel,300,0,2.0, ,99.33, =298 | 3=2,,,,,,,,,,,,,,,,,,
sede_princ,300,0,2.0,NO,59.33,NO=178 | SI=122,,,,,,,,,,,,,,,,,,
horario_lu,300,0,60.0, ,32.0, =96 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 07 a 17=12,,,,,,,,,,,,,,,,,,
horario_ma,300,0,56.0, ,33.67, =101 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11,,,,,,,,,,,,,,,,,,
horario_mi,300,0,57.0, ,33.33, =100 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11,,,,,,,,,,,,,,,,,,
horario_ju,300,0,57.0, ,33.67, =101 | 07 a 19=28 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11,,,,,,,,,,,,,,,,,,
horario_vi,300,0,57.0, ,33.33, =100 | 07 a 19=29 | 07 a 20=23 | 05 a 21=14 | 00 a 24=13,,,,,,,,,,,,,,,,,,
horario_sa,300,0,60.0, ,35.33, =106 | 07 a 18=23 | 07 a 19=14 | 07 a 13=14 | 00 a 00=13,,,,,,,,,,,,,,,,,,
horario_do,300,0,25.0, ,42.33, =127 | 00 a 00=108 | 00 a 24=13 | 09 a 17=10 | 07 a 16=9,,,,,,,,,,,,,,,,,,
fecha_cort,300,0,1.0,Fecha corte REPS: Jul 23 2020 11:22AM,100.0,Fecha corte REPS: Jul 23 2020 11:22AM=300,,,,,,,,,,,,,,,,,,
OBJECTID,300,0,,,,,0.0,300.0,150.5,150.5,1.0,86.7468,1.0,300.0,299.0,75.75,225.25,149.5,0.0,-1.2,57.639,0.0,0.0,False
Id,300,0,,,,,0.0,300.0,150.5,150.5,1.0,86.7468,1.0,300.0,299.0,75.75,225.25,149.5,0.0,-1.2,57.639,0.0,0.0,False
departamen,300,0,1.0,Bogotá D.C,100.0,Bogotá D.C=300,,,,,,,,,,,,,,,,,,
municipio,300,0,1.0,BOGOTÁ,100.0,BOGOTÁ=300,,,,,,,,,,,,,,,,,,
codigo_pre,300,0,123.0,1100101010,12.0,1100101010=36 | 1100100130=24 | 1100104035=17 | 1100102404=16 | 1100102317=12,,,,,,,,,,,,,,,,,,
nombre_pre,300,0,123.0,INVERSIONES EN RECREACION DEPORTE Y SALUD S.A Y PODRA TAMBIEN DESIGNARSE CON LA SIGLA BODYTECH,12.0,INVERSIONES EN RECREACION DEPORTE Y SALUD S.A Y PODRA TAMBIEN DESIGNARSE CON LA SIGLA BODYTECH=36 | INVERSIONES DAMA SALUD SAS=24 | UNIDAD MEDICA Y DE DIAGNOSTICO S.A=17 | INSTITUTO DE DIAGNOSTICO MEDICO S.A.=16 | IMEVI SAS=12,,,,,,,,,,,,,,,,,,
nombre,300,0,292.0,UNIDAD RADIOLOGICA DENTO CRANEO MAXILO FACIAL,1.0,UNIDAD RADIOLOGICA DENTO CRANEO MAXILO FACIAL=3 | OPTICA DR MENDEZ SAS=3 | UNIDAD MEDICA DIAGNOSTICA ESPINOSA GOMEZ SAS=3 | CENTRO MEDICO LA FACULTAD SAS=2 | TAC Y RESONANCIA DEL COUNTRY=2,,,,,,,,,,,,,,,,,,
tipo_zona,300,0,2.0,URBANA,99.67,URBANA=299 |  =1,,,,,,,,,,,,,,,,,,
direccion,300,0,299.0,CARRERA 16 No. 82 - 57 PISO 2,0.67,CARRERA 16 No. 82 - 57 PISO 2=2 | KR 64 # 100 55=1 | CLL 43 # 25 - 61=1 | DIAGONAL 19 SUR No 20 -39=1 | TV 94A # 80A 91=1,,,,,,,,,,,,,,,,,,
barrio,300,0,131.0,SANTA BARBARA,6.33,SANTA BARBARA=19 | ANTIGUO COUNTRY=19 | CHAPINERO=16 | CHICO N=9 | CHICO=9,,,,,,,,,,,,,,,,,,
telefono,300,0,216.0, ,12.0, =36 | 7462749=12 | 7565656 Ext 6557=9 | 3438770=8 | 7565656 EXT 6557=8,,,,,,,,,,,,,,,,,,
fax,300,0,,,,,0.0,68.0,11722984.4267,0.0,0.0,181955684.6565,0.0,3152537288.0,3152537288.0,0.0,2139097.25,2139097.25,17.3164,299.9053,1552.1277,41.0,13.67,False
email,300,0,175.0, ,12.33, =37 | habilitacion.cientifica@sonria.com.co=24 | edgarc@colmedica.com=17 | contabilidad@idime.com.co=13 | contabilidad@ieco.com.co=6,,,,,,,,,,,,,,,,,,
clase_pers,300,0,1.0,JURIDICO,100.0,JURIDICO=300,,,,,,,,,,,,,,,,,,
naturaleza,300,0,2.0,Privada,99.33,Privada=298 | Pública=2,,,,,,,,,,,,,,,,,,
clase_pres,300,0,1.0,Instituciones - IPS,100.0,Instituciones - IPS=300,,,,,,,,,,,,,,,,,,
ese,300,0,3.0,NO,96.33,NO=289 |  =9 | SI=2,,,,,,,,,,,,,,,,,,
nivel,300,0,2.0, ,99.33, =298 | 3=2,,,,,,,,,,,,,,,,,,
sede_princ,300,0,2.0,NO,59.33,NO=178 | SI=122,,,,,,,,,,,,,,,,,,
horario_lu,300,0,60.0, ,32.0, =96 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 07 a 17=12,,,,,,,,,,,,,,,,,,
horario_ma,300,0,56.0, ,33.67, =101 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11,,,,,,,,,,,,,,,,,,
horario_mi,300,0,57.0, ,33.33, =100 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11,,,,,,,,,,,,,,,,,,
horario_ju,300,0,57.0, ,33.67, =101 | 07 a 19=28 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11,,,,,,,,,,,,,,,,,,
horario_vi,300,0,57.0, ,33.33, =100 | 07 a 19=29 | 07 a 20=23 | 05 a 21=14 | 00 a 24=13,,,,,,,,,,,,,,,,,,
horario_sa,300,0,60.0, ,35.33, =106 | 07 a 18=23 | 07 a 19=14 | 07 a 13=14 | 00 a 00=13,,,,,,,,,,,,,,,,,,
horario_do,300,0,25.0, ,42.33, =127 | 00 a 00=108 | 00 a 24=13 | 09 a 17=10 | 07 a 16=9,,,,,,,,,,,,,,,,,,
fecha_cort,300,0,1.0,Fecha corte REPS: Jul 23 2020 11:22AM,100.0,Fecha corte REPS: Jul 23 2020 11:22AM=300,,,,,,,,,,,,,,,,,,
objectid,300,0,,,,,0.0,300.0,6950.5,6950.5,6801.0,86.7468,6801.0,7100.0,299.0,6875.75,7025.25,149.5,0.0,-1.2,1.2481,0.0,0.0,False
cenefa_par,300,0,300.0,504A11,0.33,504A11=1 | 090A12=1 | 091A12=1 | 092A12=1 | 093A12=1,,,,,,,,,,,,,,,,,,
mdoulo_par,300,0,2.0,A,94.0,A=282 | B=18,,,,,,,,,,,,,,,,,,
zona_parad,300,0,,,,,0.0,3.0,12.0833,12.0,12.0,0.3876,11.0,13.0,2.0,12.0,12.0,0.0,0.7863,3.1059,3.2076,47.0,15.67,False
nombre_par,300,0,131.0,Br. Santa Librada,5.33,Br. Santa Librada=16 | Br. Puerta al Llano=11 | Br. La Flora=9 | Ciudadela de Usme - La esperanza I Etapa=7 | Br. La Reforma=7,,,,,,,,,,,,,,,,,,
via_parade,300,0,118.0,AV. Caracas,6.67,AV. Caracas=20 | KR  3=11 | Autopista al Llano=9 | CL 90 Sur=8 | AK 1=8,,,,,,,,,,,,,,,,,,
direccion_,300,0,256.0,AV. Caracas - CL 76B Sur,1.33,AV. Caracas - CL 76B Sur=4 | KR 3 - CL 137 Sur=3 | KR 3 - CL 139 Sur=2 | KR 3 - CL 136 Sur=2 | CL 138A Sur - KR 3C=2,,,,,,,,,,,,,,,,,,
localidad_,300,0,,,,,0.0,3.0,5.5167,5.0,5.0,2.7644,4.0,19.0,15.0,5.0,5.0,0.0,4.6749,20.1496,50.1098,25.0,8.33,False
consola_pa,300,0,300.0,Vía Pasquilla (504A11),0.33,Vía Pasquilla (504A11)=1 | KR 3 - CL 139 Sur (090A12)=1 | KR 3 - CL 139 Sur (091A12)=1 | KR 3 - CL 138A Sur (092A12)=1 | KR 3 - CL 138B Sur (093A12)=1,,,,,,,,,,,,,,,,,,
panel_para,300,0,256.0,AV. Caracas - CL 76B Sur,1.33,AV. Caracas - CL 76B Sur=4 | KR 3 - CL 137 Sur=3 | KR 3 - CL 139 Sur=2 | KR 3 - CL 136 Sur=2 | CL 138A Sur - KR 3C=2,,,,,,,,,,,,,,,,,,
audio_para,299,1,240.0,Carrera Tercera Calle 137 Sur,1.0,Carrera Tercera Calle 137 Sur=3 | Avenida Caracas Calle 71 C Sur=3 | Carrera Tercera Calle 139 Sur=2 | Carrera Tercera Calle 136 Sur=2 | Calle 138 A Sur Carrera Tercera C=2,,,,,,,,,,,,,,,,,,
longitud_p,300,0,,,,,0.0,300.0,-74.1109,-74.1111,-74.1483,0.0124,-74.1483,-74.086,0.0622,-74.118,-74.1033,0.0147,-0.4366,1.0174,-0.0167,12.0,4.0,False
latitud_pa,300,0,,,,,0.0,300.0,4.5025,4.5048,4.4049,0.0145,4.4049,4.5247,0.1197,4.4939,4.5126,0.0186,-1.4067,6.0051,0.3212,1.0,0.33,False
coordenada,300,0,,,,,0.0,300.0,996296.0522,996267.8887,992148.4264,1375.7641,992148.4264,999053.42,6904.9936,995507.9761,997136.9207,1628.9446,-0.4366,1.0173,0.1381,12.0,4.0,False
coordena_1,300,0,,,,,0.0,300.0,989639.8004,989892.3243,978849.5702,1599.4119,978849.5702,992090.5,13240.9298,988690.9178,990751.7249,2060.8072,-1.4066,6.0046,0.1616,1.0,0.33,False
globalid,300,0,300.0,{082E77CF-85F6-42F9-83CC-7093533D094F},0.33,{082E77CF-85F6-42F9-83CC-7093533D094F}=1 | {B46CB127-2366-49EA-A1A3-DED346236598}=1 | {8FAC6F30-DB0E-4131-B5AF-F990AE362EBB}=1 | {271EF224-DE9C-41E5-8134-219BD4072F06}=1 | {54C1A4B0-E9A9-4B15-8D6C-078A78B4C2B2}=1,,,,,,,,,,,,,,,,,,
Codigo Parque,139,0,135.0,04-127,1.44,04-127=2 | 06-063=2 | 11-368=2 | 11-204=2 | 01-012=1,,,,,,,,,,,,,,,,,,
Nombre Parque,139,0,138.0,Arborizadora Alta,1.44,Arborizadora Alta=2 | La Vida=1 | Servita=1 | Nueva Autopista=1 | Alta Blanca=1,,,,,,,,,,,,,,,,,,
Nombre Localidad,139,0,19.0,CIUDAD BOLIVAR,10.07,CIUDAD BOLIVAR=14 | KENNEDY=13 | ENGATIVÁ=13 | SUBA=12 | BOSA=11,,,,,,,,,,,,,,,,,,
Tipologia,139,0,1.0,ESTRUCTURANTE,100.0,ESTRUCTURANTE=139,,,,,,,,,,,,,,,,,,
Administracion,139,0,1.0,IDRD,100.0,IDRD=139,,,,,,,,,,,,,,,,,,
ub_ret,47,0,33.0,Costado Occidental,19.15,Costado Occidental=9 | Costado Oriental=4 | Costado Sur=3 | Costado Norte=2 | Costado Sur - Oriental=1,,,,,,,,,,,,,,,,,,
longitud,47,0,,,,,0.0,47.0,-74.0939,-74.0829,-74.2071,0.0386,-74.2071,-74.0434,0.1636,-74.1185,-74.0685,0.05,-1.09,1.0592,-0.0521,2.0,4.26,False
latitud,47,0,,,,,0.0,47.0,4.6475,4.6299,4.5687,0.0562,4.5687,4.7697,0.201,4.6025,4.6804,0.0779,0.7811,-0.509,1.2083,0.0,0.0,False
objectid,47,0,,,,,0.0,47.0,219.766,219.0,196.0,15.3852,196.0,260.0,64.0,207.5,230.5,23.0,0.5304,0.0809,7.0007,0.0,0.0,False
id_retorno,47,0,47.0,RT042,2.13,RT042=1 | RT016=1 | RT026=1 | RT008=1 | RT014=1,,,,,,,,,,,,,,,,,,
nombre,47,0,47.0,Terreros,2.13,Terreros=1 | Avenida Rojas=1 | Flores=1 | Puente Calle 183=1 | Recinto Ferial=1,,,,,,,,,,,,,,,,,,
observ,47,0,4.0,Sin observacion,93.62,Sin observacion=44 | Mixto giro a la izquierda=1 | Retorno semaforico=1 | Retorno  externo=1,,,,,,,,,,,,,,,,,,
id_trazado,47,0,17.0,TZ016,14.89,TZ016=7 | TZ002=7 | TZ009=6 | TZ008=4 | TZ005=3,,,,,,,,,,,,,,,,,,
esta_oper,47,0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
tip_ret,47,0,,,,,0.0,4.0,1.6809,1.0,1.0,0.9114,1.0,4.0,3.0,1.0,2.0,1.0,1.4129,1.3634,54.2246,4.0,8.51,False
eta_oper,47,0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
buses_hora,47,0,,,,,0.0,8.0,7.8723,0.0,0.0,21.8449,0.0,113.0,113.0,0.0,0.0,0.0,3.2956,11.9796,277.4896,7.0,14.89,False
sentido,47,0,,,,,0.0,7.0,5.8298,4.0,4.0,4.9709,1.0,17.0,16.0,2.0,8.0,6.0,1.2205,0.3915,85.2667,0.0,0.0,False
globalid,47,0,47.0,{71ADA934-D94C-4C44-8DF1-CE7985A20B1A},2.13,{71ADA934-D94C-4C44-8DF1-CE7985A20B1A}=1 | {E38E09C8-2305-4BE8-8F86-C0C47B722C96}=1 | {50F8323C-3F81-4002-B260-ECDFC4EE5DCC}=1 | {D1E8A424-5BA8-423D-8A15-BA28CE32EA37}=1 | {FA6BE61F-551A-4F8D-B095-C41D66670A26}=1,,,,,,,,,,,,,,,,,,
created_user,0,47,1.0,(nulo),100.0,(nulo)=47,,,,,,,,,,,,,,,,,,
created_date,0,47,1.0,(nulo),100.0,(nulo)=47,,,,,,,,,,,,,,,,,,
last_edited_user,0,47,1.0,(nulo),100.0,(nulo)=47,,,,,,,,,,,,,,,,,,
last_edited_date,0,47,1.0,(nulo),100.0,(nulo)=47,,,,,,,,,,,,,,,,,,
objectid,682,0,,,,,0.0,682.0,11021.978,11053.5,10421.0,260.5912,10421.0,11413.0,992.0,10876.25,11233.75,357.5,-0.5191,-0.7129,2.3643,0.0,0.0,False
abrevia,524,158,32.0,(nulo),23.17,(nulo)=158 | ALI=101 | HHH=57 | AAA=43 | KKK=37,,,,,,,,,,,,,,,,,,
cod_linea,682,0,542.0,MK86,0.59,MK86=4 | ML82=4 | BG12=4 | DL81=4 | FJ23=4,,,,,,,,,,,,,,,,,,
nom_ruta,682,0,535.0,MK86,0.59,MK86=4 | ML82=4 | BG12=4 | DL81=4 | FJ23=4,,,,,,,,,,,,,,,,,,
